Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.595914061999999974e-06,7.260584522033953192e+01,2.648251395751505255e-01
2.595921874999999834e-06,7.258713691660011591e+01,2.646182929715468757e-01
2.595929686999999796e-06,7.257140749937785529e+01,2.644117956512533341e-01
2.595937500000000080e-06,7.255879825284728213e+01,2.642055939922746122e-01
2.595945312000000042e-06,7.254942724869424353e+01,2.639997400260650773e-01
2.595953125000000326e-06,7.254338948719812663e+01,2.637941803000265484e-01
2.595960937000000288e-06,7.254075725314427814e+01,2.635889666859688174e-01
2.595968749999999725e-06,7.254158066248581349e+01,2.633840458999191503e-01
2.595976562000000111e-06,7.254588837997086159e+01,2.631794696547171131e-01
2.595984374999999971e-06,7.255368848241587898e+01,2.629751848342266052e-01
2.595992186999999933e-06,7.256496944174318742e+01,2.627712429931202132e-01
2.596000000000000217e-06,7.257970120441709128e+01,2.625675911822257791e-01
2.596007812000000179e-06,7.259783634215621362e+01,2.623642807987812131e-01
2.596015625000000040e-06,7.261931125077245497e+01,2.621612590598326742e-01
2.596023437000000002e-06,7.264404737580713345e+01,2.619585772058445339e-01
2.596031249999999862e-06,7.267195244464069503e+01,2.617561826193079977e-01
2.596039061999999824e-06,7.270292168741210048e+01,2.614201842704267365e-01
2.596046875000000108e-06,7.273683902896375741e+01,2.610850045662265195e-01
2.596054687000000071e-06,7.277357824189992641e+01,2.607507259978856240e-01
2.596062499999999931e-06,7.281300404370823287e+01,2.604172596916075055e-01
2.596070312000000317e-06,7.285497313347231341e+01,2.600846877336618346e-01
2.596078124999999753e-06,7.289933515772113992e+01,2.597529217207824592e-01
2.596085936999999716e-06,7.294593360226724599e+01,2.594220433372746437e-01
2.596093749999999999e-06,7.299460660389799216e+01,2.590919646465131843e-01
2.596101561999999962e-06,7.304518768303694287e+01,2.587627669338622982e-01
2.596109375000000245e-06,7.309750639404526851e+01,2.584343627256331377e-01
2.596117187000000208e-06,7.315138889655275989e+01,2.581068329110295378e-01
2.596125000000000068e-06,7.320665844934170252e+01,2.577800904756692435e-01
2.596132812000000030e-06,7.326313582894098886e+01,2.574542159154041276e-01
2.596140624999999890e-06,7.332063967908685242e+01,2.571291226715149425e-01
2.596148436999999853e-06,7.337898679403521385e+01,2.568048908493537619e-01
2.596156250000000136e-06,7.343799234068360704e+01,2.564814343422240350e-01
2.596164062000000099e-06,7.349747002862268630e+01,2.561588328678040538e-01
2.596171874999999959e-06,7.355723223042762982e+01,2.558370007678703595e-01
2.596179686999999921e-06,7.361709005955987095e+01,2.555160173751218622e-01
2.596187499999999781e-06,7.367685341516106234e+01,2.551957974762969483e-01
2.596195311999999744e-06,7.373633099594242424e+01,2.548764200218890386e-01
2.596203125000000027e-06,7.379533029295666324e+01,2.545578002400717410e-01
2.596210936999999990e-06,7.385365756802929127e+01,2.542400167018808999e-01
2.596218750000000273e-06,7.391111782260549035e+01,2.539229850734702754e-01
2.596226562000000236e-06,7.396751476455916929e+01,2.536067835490715128e-01
2.596234375000000096e-06,7.402265077975597762e+01,2.532913282294345092e-01
2.596242187000000058e-06,7.407632691569591543e+01,2.529766969346157746e-01
2.596249999999999918e-06,7.412834288095444890e+01,2.526628061965780492e-01
2.596257811999999881e-06,7.417849706800888043e+01,2.523497334638760692e-01
2.596265625000000164e-06,7.422658660889094051e+01,2.520373956963035678e-01
2.596273437000000127e-06,7.427240746212578415e+01,2.517258699735615557e-01
2.596281249999999987e-06,7.431575454469829367e+01,2.514150736799789509e-01
2.596289061999999949e-06,7.435642191071423213e+01,2.511050835289257432e-01
2.596296874999999809e-06,7.439420298222675854e+01,2.510834415551581600e-01
2.596304686999999772e-06,7.442889084060475113e+01,2.510618060808582075e-01
2.596312500000000055e-06,7.446027858014014100e+01,2.510401715660252053e-01
2.596320312000000018e-06,7.448815973228479947e+01,2.510185435477785276e-01
2.596328125000000301e-06,7.451232876247952674e+01,2.509969164880257453e-01
2.596335937000000264e-06,7.453258164685009035e+01,2.509752959219786472e-01
2.596343750000000124e-06,7.454871652990134123e+01,2.509536763134544990e-01
2.596351562000000086e-06,7.456053447019166924e+01,2.509320631957560610e-01
2.596359374999999946e-06,7.456784027302549589e+01,2.509104510346093497e-01
2.596367186999999909e-06,7.457044341576917645e+01,2.508888453614112612e-01
2.596375000000000192e-06,7.456815906478441036e+01,2.508672406437932323e-01
2.596382812000000155e-06,7.456080918712248717e+01,2.508456424112497918e-01
2.596390625000000015e-06,7.454822375153160863e+01,2.508240451333180743e-01
2.596398436999999977e-06,7.453024202106377061e+01,2.508024543375863558e-01
2.596406249999999837e-06,7.450671393178059532e+01,2.507808644954974686e-01
2.596414061999999800e-06,7.447750154995287630e+01,2.507592811327370996e-01
2.596421875000000083e-06,7.444248060474548367e+01,2.507376987226505038e-01
2.596429687000000046e-06,7.440154208191003704e+01,2.507161227890236654e-01
2.596437500000000329e-06,7.435459387005874987e+01,2.506945478071035405e-01
2.596445312000000292e-06,7.430156244367006479e+01,2.506729792987753003e-01
2.596453124999999728e-06,7.424239456624697198e+01,2.506514117411897669e-01
2.596460937000000114e-06,7.417705899483043197e+01,2.506298506543264137e-01
2.596468749999999974e-06,7.410554816252101773e+01,2.506082905172403730e-01
2.596476561999999937e-06,7.402787981628065950e+01,2.505867368480144686e-01
2.596484375000000220e-06,7.394409858365636978e+01,2.505651841275989278e-01
2.596492187000000183e-06,7.385427743621778518e+01,2.505436378721822566e-01
2.596500000000000043e-06,7.375851902478326849e+01,2.505220925646131080e-01
