Time_s,Noise_Fraction
2.545945312000000098e-06,8.576409164898041171e-02
2.545953124999999958e-06,8.590298993712106035e-02
2.545960936999999920e-06,8.604232099301054038e-02
2.545968750000000204e-06,8.618212268401481690e-02
2.545976562000000166e-06,8.632236143342822410e-02
2.545984375000000026e-06,8.646307536971108154e-02
2.545992186999999989e-06,8.660423071159219222e-02
2.545999999999999849e-06,8.674586585136756511e-02
2.546007811999999811e-06,8.688794680136736892e-02
2.546015625000000095e-06,8.696946906131806931e-02
2.546023437000000057e-06,8.705113397718597379e-02
2.546031250000000341e-06,8.713296288828974168e-02
2.546039062000000303e-06,8.721493528106827320e-02
2.546046874999999740e-06,8.729707257680778543e-02
2.546054687000000126e-06,8.737935418630013440e-02
2.546062499999999986e-06,8.746180161327084257e-02
2.546070311999999948e-06,8.754439419241738518e-02
2.546078125000000232e-06,8.762715351041572287e-02
2.546085937000000194e-06,8.771005882544528898e-02
2.546093750000000054e-06,8.779313180759823476e-02
2.546101562000000017e-06,8.787635163813609096e-02
2.546109374999999877e-06,8.795974007105018810e-02
2.546117186999999839e-06,8.804327621024990447e-02
2.546125000000000123e-06,8.812698189412603023e-02
2.546132812000000085e-06,8.821083614879823842e-02
2.546140624999999945e-06,8.829486089754742806e-02
2.546148437000000331e-06,8.837903508829469956e-02
2.546156249999999768e-06,8.846338072969180122e-02
2.546164061999999730e-06,8.854787669102205661e-02
2.546171875000000014e-06,8.863254506684309364e-02
2.546179686999999976e-06,8.871736464733037675e-02
2.546187500000000260e-06,8.880235761344983103e-02
2.546195312000000222e-06,8.888750267585079912e-02
2.546203125000000082e-06,8.897282210240468892e-02
2.546210937000000045e-06,8.905829452379952771e-02
2.546218749999999905e-06,8.914394229532728031e-02
2.546226561999999867e-06,8.922974396725769086e-02
2.546234375000000151e-06,8.931572198283171948e-02
2.546242187000000113e-06,8.940185481144043156e-02
2.546249999999999973e-06,8.948816498479238157e-02
2.546257811999999936e-06,8.957463089096429076e-02
2.546265624999999796e-06,8.966127515065513975e-02
2.546273436999999758e-06,8.968254826731593410e-02
2.546281250000000042e-06,8.970383420600404334e-02
2.546289062000000004e-06,8.972512752505716616e-02
2.546296875000000288e-06,8.974643368311463476e-02
2.546304687000000250e-06,8.976774723335205486e-02
2.546312500000000110e-06,8.978907363960084154e-02
2.546320312000000073e-06,8.981040744986930335e-02
2.546328124999999933e-06,8.983175413318839064e-02
2.546335936999999895e-06,8.985310823238952527e-02
2.546343750000000179e-06,8.987447522171283787e-02
2.546351562000000141e-06,8.989584963880327406e-02
2.546359375000000002e-06,8.991723696311643144e-02
2.546367186999999964e-06,8.993863172710789278e-02
2.546374999999999824e-06,8.996003941545509253e-02
2.546382811999999786e-06,8.998145455541460558e-02
2.546390625000000070e-06,9.000288263689540380e-02
2.546398437000000032e-06,9.002431818194535362e-02
2.546406250000000316e-06,9.004576668571249998e-02
2.546414062000000278e-06,9.006722266503078278e-02
2.546421874999999715e-06,9.008869162029141398e-02
2.546429687000000101e-06,9.011016806311278327e-02
2.546437499999999961e-06,9.013165749913559788e-02
2.546445311999999923e-06,9.015315443474709867e-02
2.546453125000000207e-06,9.017466438085311453e-02
2.546460937000000169e-06,9.019618183860123040e-02
2.546468750000000030e-06,9.021771232416521402e-02
2.546476561999999992e-06,9.023925033345127356e-02
2.546484374999999852e-06,9.026080138790755492e-02
2.546492186999999814e-06,9.028235997818906400e-02
2.546500000000000098e-06,9.030393163102828913e-02
2.546507812000000060e-06,9.032551083181912521e-02
2.546515624999999921e-06,9.034710311258482840e-02
2.546523437000000307e-06,9.036870295345646176e-02
2.546531249999999743e-06,9.039031589175099135e-02
2.546539062000000129e-06,9.027144713749010729e-02
2.546546874999999989e-06,9.015287545562504501e-02
2.546554686999999952e-06,9.003462996985595046e-02
2.546562500000000235e-06,8.991667918492904366e-02
2.546570312000000198e-06,8.979905207845868820e-02
2.546578125000000058e-06,8.968171732625900006e-02
2.546585937000000020e-06,8.956470376090459873e-02
2.546593749999999880e-06,8.944798022787930902e-02
2.546601561999999843e-06,8.933157541579844763e-02
2.546609375000000126e-06,8.921545833841396100e-02
2.546617187000000089e-06,8.909965754145170169e-02
2.546624999999999949e-06,8.898414220556424836e-02
2.546632812000000335e-06,8.886894073460392673e-02
2.546640624999999771e-06,8.875402247479012574e-02
2.546648436999999734e-06,8.863941568914533720e-02
2.546656250000000017e-06,8.852508988806821744e-02
2.546664061999999980e-06,8.841107319482235938e-02
2.546671875000000263e-06,8.829733528266255072e-02
2.546679687000000226e-06,8.818390413608001577e-02
2.546687500000000086e-06,8.807074958988951596e-02
2.546695312000000048e-06,8.795789949080545789e-02
2.546703124999999908e-06,8.784532383390203369e-02
2.546710936999999871e-06,8.773305032912750989e-02
2.546718750000000154e-06,8.762104913051667332e-02
2.546726562000000117e-06,8.750934781225282177e-02
2.546734374999999977e-06,8.739791668606466946e-02
2.546742186999999939e-06,8.728678319132586461e-02
2.546749999999999799e-06,8.717591779620616210e-02
2.546757811999999762e-06,8.706534780625201086e-02
2.546765625000000045e-06,8.695504384481654581e-02
2.546773437000000008e-06,8.684503308459237680e-02
2.546781250000000291e-06,8.673528630288378227e-02
2.546789062000000254e-06,8.662583054046966990e-02
2.546796875000000114e-06,8.651663672739834388e-02
2.546804687000000076e-06,8.640773177346647294e-02
2.546812499999999936e-06,8.633378725514938290e-02
2.546820311999999899e-06,8.625997862658001114e-02
2.546828125000000182e-06,8.618628666749435230e-02
2.546835937000000145e-06,8.611272991895037310e-02
2.546843750000000005e-06,8.603928922737733020e-02
2.546851561999999967e-06,8.596598307170298658e-02
2.546859374999999827e-06,8.589279236470559464e-02
2.546867186999999790e-06,8.581973552350040391e-02
2.546875000000000073e-06,8.574679352686082057e-02
2.546882812000000036e-06,8.567398473040521711e-02
2.546890625000000319e-06,8.560129017855870603e-02
2.546898437000000282e-06,8.552872816574050296e-02
2.546906249999999718e-06,8.545627980169814841e-02
2.546914062000000104e-06,8.538396331993572397e-02
2.546921874999999964e-06,8.531175989518850755e-02
2.546929686999999927e-06,8.523968770037455844e-02
2.546937500000000210e-06,8.516772797485304414e-02
2.546945312000000173e-06,8.509589883125960597e-02
2.546953125000000033e-06,8.502418157325893067e-02
2.546960936999999995e-06,8.495259425348244964e-02
2.546968749999999855e-06,8.488111823957254776e-02
2.546976561999999818e-06,8.480977152446009248e-02
2.546984375000000101e-06,8.473853553942795047e-02
2.546992187000000064e-06,8.466742821800794794e-02
2.546999999999999924e-06,8.459643105480017800e-02
2.547007812000000310e-06,8.452556192421011028e-02
2.547015624999999746e-06,8.445480238384549254e-02
2.547023436999999709e-06,8.438417024927936938e-02
2.547031249999999992e-06,8.431364714077763112e-02
2.547039061999999955e-06,8.424325081539585369e-02
2.547046875000000238e-06,8.417296295574147602e-02
2.547054687000000201e-06,8.410280126061973893e-02
2.547062500000000061e-06,8.425067952007500582e-02
2.547070312000000023e-06,8.439905969793502771e-02
2.547078124999999883e-06,8.454798253929718399e-02
2.547085936999999846e-06,8.469741269872294032e-02
2.547093750000000129e-06,8.484739122929196853e-02
2.547101562000000092e-06,8.499788255481248445e-02
2.547109374999999952e-06,8.514892803989947134e-02
2.547117187000000338e-06,8.530049187546977218e-02
2.547124999999999774e-06,8.545261574125791182e-02
2.547132811999999737e-06,8.560526359307672750e-02
2.547140625000000021e-06,8.575847742951160646e-02
2.547148436999999983e-06,8.591222096898248894e-02
2.547156250000000267e-06,8.606653653264932646e-02
2.547164062000000229e-06,8.622138759932251872e-02
2.547171875000000089e-06,8.637681681650269394e-02
2.547179687000000051e-06,8.653278742112263666e-02
2.547187499999999912e-06,8.668934239087500160e-02
2.547195311999999874e-06,8.684644471848584901e-02
2.547203125000000158e-06,8.700413771576977207e-02
2.547210937000000120e-06,8.716238412888867304e-02
2.547218749999999980e-06,8.732122760774635450e-02
2.547226561999999942e-06,8.748063064960633073e-02
2.547234374999999803e-06,8.764063724649294451e-02
2.547242186999999765e-06,8.780120964435707276e-02
2.547250000000000049e-06,8.796239218146634231e-02
2.547257812000000011e-06,8.812414685001537795e-02
2.547265625000000295e-06,8.828651833868718379e-02
2.547273437000000257e-06,8.844946838348195783e-02
2.547281250000000117e-06,8.861304202772082861e-02
2.547289062000000079e-06,8.877720074874190237e-02
2.547296874999999940e-06,8.894198994881415132e-02
2.547304686999999902e-06,8.910737084408053288e-02
2.547312500000000186e-06,8.925548991799590881e-02
2.547320312000000148e-06,8.940408318198826698e-02
2.547328125000000008e-06,8.955319114599707975e-02
2.547335936999999971e-06,8.970277812451993293e-02
2.547343749999999831e-06,8.985288491501032537e-02
2.547351561999999793e-06,9.000347560966899529e-02
2.547359375000000077e-06,9.015459129659762760e-02
2.547367187000000039e-06,9.030619584366902930e-02
2.547375000000000323e-06,9.045833063279665187e-02
2.547382812000000285e-06,9.061095930550339128e-02
2.547390624999999722e-06,9.076412354070022281e-02
2.547398437000000108e-06,9.091778675153969203e-02
2.547406249999999968e-06,9.107199091717978201e-02
2.547414061999999930e-06,9.122669922025886113e-02
2.547421875000000214e-06,9.138195394354625689e-02
2.547429687000000176e-06,9.153771803704753574e-02
2.547437500000000036e-06,9.169403409046548992e-02
2.547445311999999999e-06,9.185086481908004419e-02
2.547453124999999859e-06,9.200825312292483515e-02
2.547460936999999821e-06,9.216616148037751199e-02
2.547468750000000105e-06,9.232463310527644351e-02
2.547476562000000067e-06,9.248363023689480655e-02
2.547484374999999927e-06,9.264319640637609654e-02
2.547492187000000313e-06,9.280329361172133529e-02
2.547499999999999750e-06,9.296396570490664257e-02
2.547507811999999712e-06,9.312517444041573667e-02
2.547515624999999996e-06,9.328696399473453138e-02
2.547523436999999958e-06,9.344929587650524505e-02
2.547531250000000242e-06,9.361221459038653048e-02
2.547539062000000204e-06,9.377568139693286120e-02
2.547546875000000064e-06,9.393974113267702930e-02
2.547554687000000027e-06,9.410435480778658879e-02
2.547562499999999887e-06,9.426956759445373479e-02
2.547570311999999849e-06,9.443534025009708843e-02
2.547578125000000133e-06,9.460171828642964520e-02
2.547585937000000095e-06,9.453628794362382848e-02
2.547593749999999955e-06,9.447093968850131529e-02
2.547601562000000341e-06,9.440569006171074806e-02
2.547609374999999778e-06,9.434052217134758500e-02
2.547617186999999740e-06,9.427545251291617745e-02
2.547625000000000024e-06,9.421046424160603450e-02
2.547632811999999986e-06,9.414557380798573016e-02
2.547640625000000270e-06,9.408076441414502111e-02
2.547648437000000232e-06,9.401605246588171094e-02
2.547656250000000092e-06,9.395142121199993868e-02
2.547664062000000055e-06,9.388688701370169476e-02
2.547671874999999915e-06,9.382243316631025398e-02
2.547679686999999877e-06,9.375807598661956010e-02
2.547687500000000161e-06,9.369379881627087903e-02
2.547695312000000123e-06,9.362961792783695836e-02
2.547703124999999983e-06,9.356551670908751228e-02
2.547710936999999946e-06,9.350151138853896038e-02
2.547718749999999806e-06,9.343758539990096312e-02
2.547726561999999768e-06,9.337375492781857522e-02
2.547734375000000052e-06,9.331000345174350619e-02
2.547742187000000014e-06,9.324634711263328490e-02
2.547750000000000298e-06,9.318276943549183566e-02
2.547757812000000260e-06,9.311928651775827626e-02
2.547765625000000120e-06,9.305588192980683571e-02
2.547773437000000083e-06,9.299257172572643337e-02
2.547781249999999943e-06,9.292933952107379492e-02
2.547789061999999905e-06,9.286620132676869088e-02
2.547796875000000189e-06,9.280314080335679006e-02
2.547804687000000151e-06,9.274017391876872296e-02
2.547812500000000011e-06,9.267728437835687227e-02
2.547820311999999974e-06,9.261448810722132385e-02
2.547828124999999834e-06,9.255176885533986098e-02
2.547835936999999796e-06,9.248914250516039604e-02
2.547843750000000080e-06,9.242659285109554312e-02
2.547851562000000042e-06,9.236211511534997420e-02
2.547859375000000326e-06,9.229771904111865044e-02
2.547867187000000288e-06,9.223342092484781984e-02
2.547874999999999725e-06,9.216920411776009792e-02
2.547882812000000111e-06,9.210508487143957701e-02
2.547890624999999971e-06,9.204104658395420580e-02
2.547898436999999933e-06,9.197710546223437922e-02
2.547906250000000217e-06,9.191324495097100145e-02
2.547914062000000179e-06,9.184948121262730136e-02
2.547921875000000040e-06,9.178579773833410449e-02
2.547929687000000002e-06,9.172221064625228626e-02
2.547937499999999862e-06,9.165870347376020577e-02
2.547945311999999824e-06,9.159529229490447066e-02
2.547953125000000108e-06,9.153196069310937100e-02
2.547960937000000070e-06,9.146872469849420817e-02
2.547968749999999931e-06,9.140556794033898036e-02
2.547976562000000316e-06,9.134250640499773366e-02
2.547984374999999753e-06,9.127952376742741458e-02
